=== Raster scan debug log ===
Starting buildLayoutRasterScan, N=20
  candidate piece=14, rot=90, score=8044407.204820
  candidate piece=14, rot=180, score=5737467.173770
  candidate piece=14, rot=270, score=3065869.445102
  candidate piece=16, rot=0, score=5325738.901112
  candidate piece=16, rot=90, score=3349272.142810
  candidate piece=16, rot=180, score=1656644.300869
  candidate piece=16, rot=270, score=3545815.992198
  candidate piece=17, rot=0, score=4674607.486362
  candidate piece=17, rot=90, score=6850376.119742
  candidate piece=17, rot=180, score=7755652.806982
  candidate piece=17, rot=270, score=5586525.315788
  -> chosen piece=8, rot=180, bestScore=829098.797133
Cell (1,3): left=8, top=12
  candidate piece=1, rot=0, score=3206563.338331
  candidate piece=1, rot=90, score=6045896.731955
  candidate piece=1, rot=180, score=6616933.902713
  candidate piece=1, rot=270, score=4033142.073675
  candidate piece=2, rot=0, score=1136313.545334
  candidate piece=2, rot=90, score=1496879.804902
  candidate piece=2, rot=180, score=3403100.283024
  candidate piece=2, rot=270, score=3000906.907646
  candidate piece=3, rot=0, score=3156537.713002
  candidate piece=3, rot=90, score=4435462.493348
  candidate piece=3, rot=180, score=4681049.707316
  candidate piece=3, rot=270, score=3627495.031356
  candidate piece=6, rot=0, score=1318738.876926
  candidate piece=6, rot=90, score=1398809.405257
  candidate piece=6, rot=180, score=1331858.639150
  candidate piece=6, rot=270, score=1201201.206678
  candidate piece=7, rot=0, score=3472466.929180
  candidate piece=7, rot=90, score=3506757.515513
  candidate piece=7, rot=180, score=2274406.402298
  candidate piece=7, rot=270, score=1979805.246163
  candidate piece=9, rot=0, score=1322956.074667
  candidate piece=9, rot=90, score=2962115.363507
  candidate piece=9, rot=180, score=2893360.387970
  candidate piece=9, rot=270, score=1151608.577560
  candidate piece=10, rot=0, score=5444517.102922
  candidate piece=10, rot=90, score=5607205.094885
  candidate piece=10, rot=180, score=4707133.838647
  candidate piece=10, rot=270, score=4500004.128390
  candidate piece=11, rot=0, score=1123666.656259
  candidate piece=11, rot=90, score=1096506.626345
  candidate piece=11, rot=180, score=1366479.813900
  candidate piece=11, rot=270, score=1531250.051844
  candidate piece=13, rot=0, score=1668978.212450
  candidate piece=13, rot=90, score=1484389.295496
  candidate piece=13, rot=180, score=1149609.617333
  candidate piece=13, rot=270, score=1594881.073473
  candidate piece=14, rot=0, score=3890054.694163
  candidate piece=14, rot=90, score=5576952.566959
  candidate piece=14, rot=180, score=4148355.104214
  candidate piece=14, rot=270, score=2256114.417079
  candidate piece=16, rot=0, score=2891351.384058
  candidate piece=16, rot=90, score=1828043.394506
  candidate piece=16, rot=180, score=1006349.662552
  candidate piece=16, rot=270, score=2056370.480237
  candidate piece=17, rot=0, score=3282995.086213
  candidate piece=17, rot=90, score=4942463.400345
  candidate piece=17, rot=180, score=5489741.048563
  candidate piece=17, rot=270, score=3905304.442031
  -> chosen piece=16, rot=180, bestScore=1006349.662552
Cell (1,4): left=16, top=18
  candidate piece=1, rot=0, score=1551159.743059
  candidate piece=1, rot=90, score=2031067.831331
  candidate piece=1, rot=180, score=2434234.772940
  candidate piece=1, rot=270, score=1867860.102966
  candidate piece=2, rot=0, score=2365182.841172
  candidate piece=2, rot=90, score=4212859.874423
  candidate piece=2, rot=180, score=3313125.446272
  candidate piece=2, rot=270, score=2303856.200614
  candidate piece=3, rot=0, score=1657116.958339
  candidate piece=3, rot=90, score=2064606.937171
  candidate piece=3, rot=180, score=2215906.105649
  candidate piece=3, rot=270, score=1919306.742881
  candidate piece=6, rot=0, score=1508287.817315
  candidate piece=6, rot=90, score=2237226.101228
  candidate piece=6, rot=180, score=2994103.135014
  candidate piece=6, rot=270, score=2341354.702554
  candidate piece=7, rot=0, score=2070506.512430
  candidate piece=7, rot=90, score=3489533.415726
  candidate piece=7, rot=180, score=1436490.822266
  candidate piece=7, rot=270, score=1772168.864429
  candidate piece=9, rot=0, score=2593635.090377
  candidate piece=9, rot=90, score=1876266.366994
  candidate piece=9, rot=180, score=1577068.635573
  candidate piece=9, rot=270, score=1625068.044809
  candidate piece=10, rot=0, score=1924310.028854
  candidate piece=10, rot=90, score=1931033.606047
  candidate piece=10, rot=180, score=1864472.893504
  candidate piece=10, rot=270, score=1682795.489639
  candidate piece=11, rot=0, score=2600354.484920
  candidate piece=11, rot=90, score=3641245.848539
  candidate piece=11, rot=180, score=3425026.044870
  candidate piece=11, rot=270, score=2594999.375180
  candidate piece=13, rot=0, score=3995161.415462
  candidate piece=13, rot=90, score=3069047.619092
  candidate piece=13, rot=180, score=1617417.327203
  candidate piece=13, rot=270, score=2464886.528848
  candidate piece=14, rot=0, score=1523053.977283
  candidate piece=14, rot=90, score=2244658.365917
  candidate piece=14, rot=180, score=2304371.441842
  candidate piece=14, rot=270, score=1809817.921084
  candidate piece=17, rot=0, score=1604979.515005
  candidate piece=17, rot=90, score=1937226.079475
  candidate piece=17, rot=180, score=2221719.055645
  candidate piece=17, rot=270, score=2149349.782108
  -> chosen piece=7, rot=180, bestScore=1436490.822266
Cell (2,0): left=-1, top=4
  candidate piece=1, rot=0, score=1374490.094657
  candidate piece=1, rot=90, score=2454488.946695
  candidate piece=1, rot=180, score=4723017.934089
  candidate piece=1, rot=270, score=3668910.792643
  candidate piece=2, rot=0, score=1018316.844713
  candidate piece=2, rot=90, score=559711.998270
  candidate piece=2, rot=180, score=461375.350059
  candidate piece=2, rot=270, score=2556797.892030
  candidate piece=3, rot=0, score=1614835.139063
  candidate piece=3, rot=90, score=1980971.881725
  candidate piece=3, rot=180, score=3043826.705461
  candidate piece=3, rot=270, score=2659169.921500
  candidate piece=6, rot=0, score=765259.687085
  candidate piece=6, rot=90, score=912231.870366
  candidate piece=6, rot=180, score=692505.764486
  candidate piece=6, rot=270, score=452320.682343
  candidate piece=9, rot=0, score=685647.785033
  candidate piece=9, rot=90, score=594948.711512
  candidate piece=9, rot=180, score=2566234.524031
  candidate piece=9, rot=270, score=1262875.191161
  candidate piece=10, rot=0, score=2703029.099478
  candidate piece=10, rot=90, score=3703355.846182
  candidate piece=10, rot=180, score=3370633.872345
  candidate piece=10, rot=270, score=2547147.788806
  candidate piece=11, rot=0, score=1087776.067404
  candidate piece=11, rot=90, score=435336.353212
  candidate piece=11, rot=180, score=423554.766486
  candidate piece=11, rot=270, score=618315.479768
  candidate piece=13, rot=0, score=951752.241443
  candidate piece=13, rot=90, score=626539.521485
  candidate piece=13, rot=180, score=665599.502173
  candidate piece=13, rot=270, score=981904.342037
  candidate piece=14, rot=0, score=1134309.054774
  candidate piece=14, rot=90, score=3369748.481636
  candidate piece=14, rot=180, score=3611268.727325
  candidate piece=14, rot=270, score=1283061.291704
  candidate piece=17, rot=0, score=1458779.092484
  candidate piece=17, rot=90, score=2547387.374419
  candidate piece=17, rot=180, score=3247310.599281
  candidate piece=17, rot=270, score=3377700.082661
  -> chosen piece=11, rot=180, bestScore=423554.766486
Cell (2,1): left=11, top=15
  candidate piece=1, rot=0, score=3676267.147220
  candidate piece=1, rot=90, score=6549990.221483
  candidate piece=1, rot=180, score=7571468.066930
  candidate piece=1, rot=270, score=4852867.825544
  candidate piece=2, rot=0, score=1504038.482640
  candidate piece=2, rot=90, score=1217301.276345
  candidate piece=2, rot=180, score=3012852.917421
  candidate piece=2, rot=270, score=3211322.815388
  candidate piece=3, rot=0, score=3595517.738892
  candidate piece=3, rot=90, score=4766924.670778
